Oklahoma Native Plant Record	2379-4011
Trudy Odesskogo Politehni?eskogo Universiteta	2076-2429
Manuscrito	0100-6045
Estudos de Psicologia (Campinas)	0103-166X
Humaniora	2087-1236
Al-Ulum	1412-0534
Jurnal Agriekonomika	2301-9948
Scientific Bulletin of Valahia University: Materials and Mechanics	1844-1076
Journal of Algebra and Related Topics	2345-3931
Acta Biológica Colombiana	0120-548X
Gestão & Tecnologia de Projetos	1981-1543
Paladyn: Journal of Behavioral Robotics	2081-4836
Aquaculture Reports	2352-5134
Preventive medicine reports	2211-3355
Problemi Informacìjnih Tehnologìj	1998-7005
Arthritis Research & Therapy	1478-6354
AgroLife Scientific Journal	2285-5718
Romanian Review of Laboratory Medicine	2284-5623
Journal of Social Ontology	2196-9663
Jurnal Pendidikan Islam	2301-9166
AIMS Genetics	2377-1143
Student Success	2205-0795
Studia Humana	2299-0518
Journal of Critical Care Medicine	2393-1817
Slovenian Journal of Public Health	1854-2476
Selected Scientific Papers: Journal of Civil Engineering	1336-9024
Laplage em Revista	2446-6220
Revista Estudios Hemisféricos y Polares	0718-9230
International Journal of Retina and Vitreous	2056-9920
Redes de Ingeniería	2248-762X
Annals of the National Academy of Medical Sciences (India)	0379-038X
Philosophical Investigations	2251-7960
Arhitekton	1990-4126
Ekológia (Bratislava)	1337-947X
Ethnologia Actualis	1339-7877
Journal of Horticultural Research	2300-5009
Dynamic Relationships Management Journal	2232-5867
Revista de Administração, Contabilidade e Economia da Fundace	2178-7638
Boletim de Indústria Animal	0067-9615
International Journal for Transformative Research	2353-5415
Journal of Engineering and Technological Sciences	2337-5779
Oslo Law Review	2387-3299
Social Media + Society	2056-3051
GEOUSP: Espaço e Tempo	1414-7416
Communicative & Integrative Biology	1942-0889
Ciudad Paz-ando	2011-5253
Lithuanian Journal of Statistics	1392-642X
Journal of Ardabil University of Medical Sciences	2228-7280
Ecotrophic: Journal of Environmental Science	1907-5626
E-Jurnal Kajian Budaya	2302-7304
Journal of Spatial and Organizational Dynamics	2183-1912
Critical Questions in Education	2327-3607
KKU Engineering Journal	0125-8273
The Nordic Atlas of Language Structures (NALS) Journal	2387-2667
Journal of Clinical Movement Disorders	2054-7072
Public History Review	1833-4989
Engineering Applications of Computational Fluid Mechanics	1994-2060
Boletín de la Sociedad Española de Historiografía Lingüística	1695-2030
Journal of Data Mining and Digital Humanities	2416-5999
Oilseeds and fats, crops and lipids	2257-6614
Indonesian Journal of Geoscience	2355-9314
Nauplius	0104-6497
Democracia Digital e Governo Eletrônico	2175-9391
Osmanli Bilimi Arastirmalari	1303-3123
International Journal of Hepatobiliary and Pancreatic Diseases	2230-9012
Journal of Liberty and International Affairs	1857-9760
HYLA: Herpetological Bulletin	1849-3505
Journal of Inborn Errors of Metabolism and Screening	2326-4594
Acta Technologica Agriculturae	1338-5267
ARS Medica Tomitana	1841-4036
Dose-Response	1559-3258
Academic Journal of Economic Studies	2393-4913
Acta Facultatis Medicae Naissensis	2217-2521
Global Qualitative Nursing Research	2333-3936
Health Psychology Open	2055-1029
Jurnal Magister Hukum Udayana	2302-528X
Magnificat Cultura i Literatura Medievals	2386-8295
Current Plant Biology	2214-6628
Pilot and Feasibility Studies	2055-5784
Ruang-Space: Jurnal Lingkungan Binaan	2355-570X
Jurnal Master Pariwisata	2406-9116
e-Journal of Linguistics	2442-7586
e-Jurnal Medika Udayana	2303-1395
Jurnal Spektran	2302-2590
Jurnal Akuntansi Multiparadigma	2086-7603
Jurnal Rekayasa Elektrika	1412-4785
Boletín de la Unión de Ornitólogos del Perú	2220-9212
Transformación	2077-2955
Public Health and Preventive Medicine Archives	2303-1816
International Journal on Smart Material and Mechatronics	2356-5314
E-Journal of Cultural Studies	2338-2449
Analisa: Journal of Social Science and Religion	1410-4350
Jurnal Ilmu dan Kesehatan Hewan	2302-6057
Cakra Kimia	2302-7274
Jurnal Ergonomi Indonesia	1411-951X
Desafíos	0124-4035
Victoria University Law and Justice Journal	2203-2908
Revista Comunicação e Sociedade	1645-2089
Acrocephalus	0351-2851
Electrical Engineering & Electromechanics	2074-272X
International Journal of Management Science and Business Administration	1849-5664
Sport and Fitness Journal	2302-688X
Journal of Fisheries	2311-729X
Frontiers in Built Environment	2297-3362
Zoosystematics and Evolution	1435-1935
Biodiversity Data Journal	1314-2828
Vita et Sanitas	1982-5951
Journal of Sustainable Design and Applied Research in Innovative Engineering of the Built Environment	2009-549X
European Agrophysical Journal	2296-763X
Iniciação	2179-474X
Transversal: Journal for Jewish Studies	2391-7385
International Journal of Cancer Therapy and Oncology	2330-4049
Journal of Dental Biomaterial	2383-398X
Rivista CQIA	2039-4039
Research in Geophysics	2038-9663
Annals of Silvicultural Research	2284-354X
Antropologia	2420-8469
Research in Molecular Medicine	2322-1348
Journal of International Medical Research	1473-2300
Health Services Research & Managerial Epidemiology	2333-3928
Molekul	1907-9761
Geoid	1858-2281
Media Ilmiah Teknologi Pangan	2407-3814
Revista Iara	1983-7836
NPG Asia Materials	1884-4057
Thoracic Cancer	1759-7706
Nursing Open	2054-1058
Romanian Journal of Society and Politics	1582-5795
Revista Investigación Educativa	0212-4068
The All Results Journals: Biol	2172-4784
Ciência da Informação em Revista	2358-0763
Spirituality Studies	1339-9578
Sovremennaâ Zarubežnaâ Psihologiâ	2304-4977
Psihologiâ i Pravo	2222-5196
International Journal of Business & Economic Development	2051-8498
applied psychological research journal	2057-570X
Austrian Law Journal	2409-6911
Austrian Journal of Political Science	2313-5433
Estudios Rurales	2250-4001
Jurnal Dinamika Manajemen	2086-0668
Journal of Shanghai Normal University (Natural Sciences)	1000-5137
World Journal of Traditional Chinese Medicine	2311-8571
Quaternary and Environmental Geosciences	2176-6142
Global Ecology and Conservation	2351-9894
Deutsche Entomologische Zeitschrift	1435-1951
Nota Lepidopterologica	0342-7536
Translational Proteomics	2212-9626
Journal of Medical Education and Curricular Development	2382-1205
Rehabilitation Process and Outcome	1179-5727
Journal of Paramedical Science and Rehabilitation	2322-5238
Scientific Journal of Informatics	2407-7658
NYS TESOL Journal	2332-8541
Endocrine Surgery	2306-3513
Uluda? University Journal of The Faculty of Engineering	2148-4155
Asia Pacific Journal of Multidisciplinary Research	2350-7756
Cell Discovery	2056-5968
Journal of Urban Society's Arts	2355-214X
Opera	1657-8651
	1825-8670
International Journal of Occupational Medicine and Environmental Health	1896-494X
Perspectives in Science	2213-0209
Cogent Mathematics	2331-1835
Bucovina Forestier?	1582-0769
Aletria: Revista de Estudos de Literatura	1679-3749
Tidsskriftet Arkiv	1891-8107
Journal for the Education of Gifted Young Scientists	2149-360X
Acta Logistica	1339-5629
Statistics, Optimization and Information Computing	2311-004X
Urology Case Reports	2214-4420
South African Computer Journal	1015-7999
Lankesteriana	1409-3871
Informatio	2301-1378
En Letra	2362-2148
ACTA VŠFS	1802-792X
Arabiyat	2356-153X
Enseñanza & Teaching	2386-3919
Actualidad Económica	0327-585X
IJC Metabolic & Endocrine	2214-7624
EBioMedicine	2352-3964
Studia Universitatis Babe?-Bolyai: Geographia	1221-079X
Journal of Clinical & Translational Endocrinology	2214-6237
Beverages	2306-5710
Journal of Comorbidity	2235-042X
International Journal of Africa Nursing Sciences	2214-1391
Significação: Revista de Cultura Audiovisual	1516-4330
Agronomía Mesoamericana	1021-7444
Organisational Project Management	2203-6156
Jesuit Higher Education: A Journal	2164-7666
Journal of Western Archives	2154-7149
Informes Científicos y Técnicos (Universidad Nacional de la Patagonia Austral)	1852-4516
Advancements in Life Sciences	2310-5380
Andrews University Seminary Student Journal	2376-0621
Bulletin of Integrative Psychiatry	1453-7257
Caderno Profissional de Marketing Unimep	2317-6466
Avian Research	2053-7166
Geodetski Glasnik	1512-6102
Open Physics	2391-5471
Open Theology	2300-6579
Open Linguistics	2300-9969
Lupus Science and Medicine	2053-8790
Revista Numismática Hécate	2386-8643
Open Mathematics	2391-5455
Open Medicine	2391-5463
Open Archaeology	2300-6560
Open Chemistry	2391-5420
Open Life Sciences	2391-5412
Studia Universitatis Moldaviae: Stiinte Sociale	1814-3199
Studia Universitatis Moldaviae: Stiinte ale Educatiei	1857-2103
Studia Universitatis Moldaviae: Stiinte reale si ale naturii	1814-3237
Sibirskie Istori?eskie Issledovaniâ	2312-461X
Ars & Humanitas	1854-9632
Open Geosciences	2391-5447
Archives of Pediatric Infectious Diseases	2322-1828
Jelentés és Nyelvhasználat	2064-9940
Jurnal Perencanaan Wilayah dan Kota	0853-9847
Jurnal Optimasi Sistem Industri	2088-4842
Journal of Research in Education Sciences	2073-753X
Annals of the University of Craiova: Economic Sciences Series	1223-365X
Revista Chilena de Derecho y Tecnología	0719-2584
Malaysian Online Journal of Educational Technology	2289-2990
Eksergi	1410-394X
Romanian Journal of Meteorology	2284-6220
Research in Agriculture, Livestock and Fisheries	2409-0603
Voennyi Sbornik	2309-6322
Majalah Ilmiah Teknik Elektro	1693-2951
Resital: Jurnal Seni Pertunjukan	2338-6770
Revista Cuidarte	2216-0973
Palobra	1657-0111
Praxis	1657-4915
Journal of Bengali Studies	2277-9426
Journal of Young Pharmacists	0975-1483
Enliven	2374-4448
Revista Científica e-Locução	2238-1899
Revista Eletrônica Científica do CRA-PR - RECC	2358-7083
Infekciâ i Immunitet	2220-7619
Vestnik Volgogradskogo Gosudarstvennogo Universiteta. Seriâ 10. Innovacionnaâ Deâtel?nost?	2305-7815
Vestnik Volgogradskogo Gosudarstvennogo Universiteta. Seriâ 3, Èkonomika,Èkologiâ	1998-992X
Kultura (Skopje)	1857-7717
TEM Journal	2217-8309
International Journal of Serious Games	2384-8766
Revista de Cultura Teologica	0104-0529
Data in Brief	2352-3409
new microbes and new infections	2052-2975
Revista Científica Infociencia	1029-5186
Elpis	1508-7719
Molecular and Cellular Therapies	2052-8426
Journal of the Indonesian Mathematical Society	2086-8952
Journal of Patient-Centered Research and Reviews	2330-0698
Pakistan Journal of Pharmaceutical Research	2410-6275
Chemistry Journal of Moldova: General, Industrial and Ecological Chemistry	1857-1727
Journal of International Child Neurology Association	2410-6410
Konsul?tativnaâ Psihologiâ i Psihoterapiâ	2075-3470
Journal of Analytical Research in Clinical Medicine	2345-4970
Social?naâ Psihologiâ i Ob?estvo	2221-1527
Revista Cubana de Reumatología	1606-5581
Revista de Matemática: Teoría y Aplicaciones	2215-3373
Lectora: Revista de Dones i Textualitat	1136-5781
Pediatric Neurology Briefs	1043-3155
Microbial Cell	2311-2638
Brazilian Journal of Forensic Sciences, Medical Law and Bioethics	2237-261X
Confluência	1415-7403
Nordic Journal of Social Research	1892-2783
Bulletin of Educational Research	1028-8708
#Tear: Revista de Educação, Ciência e Tecnologia	2238-8079
Revista Sustinere	2359-0424
Revista IBRACON de Estruturas e Materiais	1983-4195
Journal of Bioenergy and Food Science	2359-2710
Journal of Human and Work	2148-967X
Himalayan Linguistics	1544-7502
BJ Kines: National Journal of Basic & Applied Sciences	2231-6140
Paradigms	1996-2800
Eutopia: Revista de Desarrollo Economico Territorial	1390-5708
Acta Pediátrica de México	0186-2391
Suma de Negocios	2215-910X
Journal of Mathematical Extension	1735-8299
Hydrology and Earth System Sciences Discussions	1812-2116
EAI Endorsed Transactions on Serious Games	2034-8800
EAI Endorsed Transactions on Ambient Systems	2032-927X
In?ynieria Ekologiczna	2392-0629
computer Science	1508-2806
Construction Science	2255-8551
Annales UMCS: Informatica	2083-3628
Linguaculture	2285-9403
Èksperimental?naâ Psihologiâ	2072-7593
Avtomatizaciâ i Upravlenie v Tehni?eskih Sistemah	2306-1561
Plaza Pública: Revista de Trabajo Social	1852-2459
Campbell Systematic Reviews	1891-1803
Prague Journal of English Studies	2336-2685
Biomedical Data Journal	2367-5322
Anuari de Filologia: Llengües i Literatures Modernes	2014-1394
Network Intelligence Studies	2344-1712
International Journal of Research and Innovations in Science and Technology	2394-3858
Scientia Agriculturae Bohemica	1805-9430
Sustainable Chemical processes	2043-7129
Zoological Letters	2056-306X
Journal of Pharmaceutical Health Care and Sciences	2055-0294
Journal of Pharmaceutical Policy and Practice	2052-3211
Maternal Health, Neonatology and Perinatology	2054-958X
Fertility Research and Practice	2054-7099
Journal of Compassionate Health Care	2053-2393
Chemical and Biological Technologies in Agriculture	2196-5641
Geoscience Letters	2196-4092
Hydrology	2306-5338
Chinese Journal of Cancer	1944-446X
BMC Nutrition	2055-0928
Fungal Biology and Biotechnology	2054-3085
Standards in Genomic Sciences	1944-3277
Clinical Hypertension	2056-5909
Medicines	2305-6320
Romanische Studien	2364-4753
Revista Argentina de Residentes de Cirugía	0328-9206
Tyche	2409-5540
Environmental & Socio-economic Studies	2354-0079
Neurology and Therapy	2193-6536
Earth Planets and Space	1880-5981
Progress in Earth and Planetary Science	2197-4284
Journal of Pediatric Nephrology	2345-3176
Encuentros	1692-5858
"Analele Universit??ii ""Ovidius"" Constan?a: Seria Chimie"	2286-038X
Psihologi?eskaâ Nauka i Obrazovanie	2074-5885
Parágrafo: Revista Científica de Comunicação Social da FIAM-FAAM	2317-4919
Páginas de Filosofía	0327-5108
Fronteras: Revista de Ciencias Sociales y Humanidades	0719-4285
Central European Journal of Nursing and Midwifery	2336-3517
Faces da História	2358-3878
Scientific Papers of Silesian University of Technology. Organization and Management Series	1641-3466
ICAME Journal	1502-5462
Investigaciones Sobre Lectura	2340-8685
PeerJ	2167-8359
The Iraqi Journal of Agricultural science	2410-0862
EuroAmerican Journal of Applied Linguistics and Languages	2376-905X
Öneri	1300-0845
Revista de Estudos Sociais	1519-504X
Journal of Daylighting	2383-8701
Journal of International Translational Medicine	2227-6394
Nukleonika	0029-5922
Kul?turno-istori?eskaâ Psihologiâ	1816-5435
Journal of Design and the Built Environment	1823-4208
Ankara Ara?t?rmalar? Dergisi	2147-8724
Dilemas Contemporáneos: Educación, Política y Valores	2007-7890
Social?naâ Psihologiâ i Ob?estvo	2221-1527
Azafea: Revista de Filosofía	0213-3563
Medievalia	0211-3473
International Journal of Advances in Intelligent Informatics	2442-6571
Archeion Online	2318-6186
Revista Chilena de Fonoaudiología	0717-4659
Icoana Credin?ei	2393-137X
Psihologi?eskaâ Nauka i Obrazovanie	1814-2052
Genomics Data	2213-5960
International Journal of Cardiology: Heart & Vasculature	2352-9067
Stem Cell Reports	2213-6711
Chimera: Romance Corpora and Linguistic Studies	2386-2629
Jurnal Gizi dan Pangan	1978-1059
Informação & Tecnologia	2358-3908
Bunron	2199-2754
Archives of Control Sciences	2300-2611
Advances in Rehabilitation	1734-4948
Ožirenie i Metabolizm	2071-8713
Nang Yan Business Journal	2307-4450
Izvestiâ Ûžnogo Federal?nogo Universiteta: Filologi?eskie Nauki	1995-0640
Landform analysis	2081-5980
Nuclear receptor research	2314-5714
Revista Brasileira de Direito	2238-0604
Complex Metals: An Open Access Journal	2164-232X
Journal of Scientometric Research	2321-6654
Normas: Revista de Estudios Lingüísticos Hispánicos	2174-7245
microRNA Diagnostics and Therapeutics	2084-6843
Materials Science-Poland	2083-134X
Results in Pharma Sciences	2211-2863
Acta Medica Bulgarica	0324-1750
Journal of Central Banking Theory and Practice	2336-9205
Con-textos Kantianos: International Journal of Philosophy	2386-7655
Revista de Comunicación de la SEECI	1575-9628
Securitologia	2449-7436
Scientia et Fides	2353-5636
Archives of biomedical science	2300-7257
e-Scripta Romanica	2392-0718
Coherent Optical Phenomena	2299-3983
Topics in Linguistics	2199-6504
Arctic Review of Law and Politics	1891-6252
Derim	1300-3496
Journal of ETA Maritime Science	2147-2955
Trends in Hearing	2331-2165
Global Pediatric Health	2333-794X
Inquiry: The Journal of Health Care Organization, Provision, and Financing	1945-7243
